Artist_ID,Nama_Artis,Primary_Genre
ART-ABCD5190,Jam Master,Indie / Alternative
ART-4987EE01,Middle-Man Records,Indie / Alternative
ART-1C83C3C9,Lifes,Indie / Alternative
ART-BF19856E,Euth,Indie / Alternative
ART-3ED21982,Breathing Rainbow,Indie / Alternative
ART-2C2F4FF9,Detriti Records,Indie / Alternative
ART-D063277E,Kutiman,Indie / Alternative
ART-4E570A8C,EVITCELES,Indie / Alternative
ART-DEE212F3,Mani Festo,Indie / Alternative
ART-B841641B,Ana Roxanne,Indie / Alternative
ART-2C5AA813,Joan Shelley,Indie / Alternative
ART-A91EE5FA,Anne Reburn,Indie / Alternative
ART-A365D790,BUSDRIVER,Indie / Alternative
ART-F5B65F2F,Bing Satellites,Indie / Alternative
ART-15332BCF,UVB,Indie / Alternative
ART-74C80AB0,Fiver,Indie / Alternative
ART-3DBEEBE5,Too Many Zooz,Indie / Alternative
ART-61824D90,Jacidorex,Indie / Alternative
ART-90490442,ASTRAL WAVES,Indie / Alternative
ART-BE641F76,AuroraX,Indie / Alternative
ART-A29AF5DA,COSMIC DUST,Indie / Alternative
ART-5E9E488C,LAB'S CLOUD,Indie / Alternative
ART-66AAD3A0,PRIMABOT,Indie / Alternative
ART-056DE85F,LYDIA,Indie / Alternative
ART-276BE5D0,I.M.D,Indie / Alternative
ART-711D71C1,ZERO THEORY,Indie / Alternative
ART-8BC54BBB,PETBRICK,Indie / Alternative
ART-3DA84BA7,Paul Babelay,Indie / Alternative
ART-5C5BF1AB,Fadi Tabbal,Indie / Alternative
ART-28F3B382,沙漠鱿鱼,Indie / Alternative
ART-906D4F1D,Scarlet Season,Indie / Alternative
ART-5E90C4F3,Sylvan Esso,Indie / Alternative
ART-45047FD6,Sam & Jack Brickel,Indie / Alternative
ART-1065274D,William McCarthy,Indie / Alternative
ART-32DAE029,David Nance,Indie / Alternative
ART-299AE1EE,Steve Roach,Indie / Alternative
ART-9B7126D7,Serena Gabriel  -  Steve Roach,Indie / Alternative
ART-83F4BE2D,Artists From Nowhere,Indie / Alternative
ART-2C8DDE97,Arthur Robert - AR,Indie / Alternative
ART-65AEA56C,Mutual Intentions,Indie / Alternative
ART-DC4A7723,Eartheogen,Indie / Alternative
ART-13637FEA,c64 (of Dual Core),Indie / Alternative
ART-8C4E637F,ROMASA,Indie / Alternative
ART-7CBF9E72,Michal Jablonski,Indie / Alternative
ART-8A2A2597,Pat Jaffe,Indie / Alternative
ART-59C4B85B,Dixia Sirong & O'Hana,Indie / Alternative
ART-9006F200,Burnt Tapes,Indie / Alternative
ART-94594778,Fashion Queens,Indie / Alternative
ART-D30B756D,dpcld,Indie / Alternative
ART-F74E8390,Churchwood,Indie / Alternative
ART-B666EA6B,Harvey McLaughlin,Indie / Alternative
ART-B129B60A,Digital Landscapes,Indie / Alternative
ART-B4A8072C,Bedouine,Indie / Alternative
ART-AF2ABF08,Yair Levi,Indie / Alternative
